"SAP Num","Manufacturer part no.","Base model code","Processor","Memory","HDD","Graphics","Keyboard Options","Power","Colour","Touch Bar","Stock","ALP","DAC"
5302741,"Z0WR_2000439129_CTO","MV972B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","8GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,2165.83,2102.22
5302738,"Z0WR_2000432122_CTO","MV972B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","16GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,4,1815.83,1762.37
5302744,"Z0WR_2000432907_CTO","MV972B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","16GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,1982.5,1924.78
5302759,"Z0WR_2000432909_CTO","MV972B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","16GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,2315.83,2248.59
5302723,"Z0WR_2000432121_CTO","MV972B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","8GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,6,1890.83,1834.55
5302742,"Z0WR_2000432124_CTO","MV972B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","8GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,2057.5,1996.96
5302743,"Z0WR_7_GB_CTO","MV972B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","8GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,2390.83,2320.77
5302739,"Z0WR_2000432906_CTO","MV972B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","16GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,23,2040.83,1980.92
5302760,"Z0WR_2000432910_CTO","MV972B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","16GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,3,2207.5,2143.33
5302761,"Z0WR_2000440878_CTO","MV972B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","16GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey",,0,2540.83,2467.14
5301878,"MV992B/A","MV992B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","8GB 2133MHz LPDDR3 memory","256GB SSD storage","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,1499.17,1454
5302765,"Z0WS_4_GB_CTO","MV992B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","8GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,1665.84,1616.41
5302563,"Z0WS_5_GB_CTO","MV992B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","8GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,1832.5,1777.81
5302564,"Z0WS_6_GB_CTO","MV992B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","8GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,2165.84,2102.62
5302763,"Z0WS_2000432126_CTO","MV992B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","16GB 2133MHz LPDDR3 memory","256GB SSD storage","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,1649.17,1600.37
5302568,"Z0WS_2000432088_CTO","MV992B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","16GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,2,1815.84,1762.78
5302569,"Z0WS_2000432893_CTO","MV992B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","16GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,1982.5,1924.18
5302591,"Z0WS_12_GB_CTO","MV992B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","16GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,2315.84,2248.99
5302762,"Z0WS_2000444310_CTO","MV992B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","8GB 2133MHz LPDDR3 memory","256GB SSD storage","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,9,1724.17,1672.55
5302565,"Z0WS_2000465712_CTO","MV992B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","8GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,1890.84,1834.96
5302566,"Z0WS_8_GB_CTO","MV992B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","8GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,2057.5,1996.36
5302567,"Z0WS_9_GB_CTO","MV992B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","8GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,2390.84,2321.17
5302764,"Z0WS_2000432128_CTO","MV992B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","16GB 2133MHz LPDDR3 memory","256GB SSD storage","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,1874.17,1818.92
5302592,"Z0WS_2000432091_CTO","MV992B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","16GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,2040.84,1981.33
5302593,"Z0WS_2000447675_CTO","MV992B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","16GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,2207.5,2142.73
5302594,"Z0WS_2000470945_CTO","MV992B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","16GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,2540.84,2467.54
5301875,"MV9A2B/A","MV9A2B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","8GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,8,1665.83,1616
5302619,"Z0WU_2000435793_CTO","MV9A2B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","8GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,1832.5,1778.41
5302620,"Z0WU_2000480654_CTO","MV9A2B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","8GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,2165.83,2102.22
5302596,"Z0WU_2000432978_CTO","MV9A2B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","16GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,1815.83,1762.37
5302623,"Z0WU_2000470312_CTO","MV9A2B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","16GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,1982.5,1924.78
5302624,"Z0WU_2000452392_CTO","MV9A2B/A","2.4GHz quad‑core 8th‑generation Intel Core i5 processor, Turbo Boost up to 4.1GHz","16GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,2315.83,2248.59
5302595,"Z0WU_1_GB_CTO","MV9A2B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","8GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,1890.83,1834.55
5302621,"Z0WU_6_GB_CTO","MV9A2B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","8GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,2057.5,1996.96
5302622,"Z0WU_7_GB_CTO","MV9A2B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","8GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,2390.83,2320.77
5302597,"Z0WU_2000434329_CTO","MV9A2B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","16GB 2133MHz LPDDR3 memory","512GB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,2040.83,1980.92
5302625,"Z0WU_2000432098_CTO","MV9A2B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","16GB 2133MHz LPDDR3 memory","1TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,2207.5,2143.33
5302647,"Z0WU_2000434774_CTO","MV9A2B/A","2.8GHz quad‑core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.7GHz","16GB 2133MHz LPDDR3 memory","2TB PCIe-based SSD","Intel Iris Plus Graphics 655","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Silver",,0,2540.83,2467.14
5373420,"MUHN2B/A","MUHN2B/A","1.4GHz quad-core 8th‑generation Intel Core i5 processor, Turbo Boost up to 3.9GHz","8GB 2133MHz LPDDR3 SDRAM","128GB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",75,1082.5,1050
5379061,"Z0W4_2000446352_CTO","MUHN2B/A","1.4GHz quad-core 8th‑generation Intel Core i5 processor, Turbo Boost up to 3.9GHz","8GB 2133MHz LPDDR3 SDRAM","256GB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,1249.17,1212.41
5379062,"Z0W4_2000457851_CTO","MUHN2B/A","1.4GHz quad-core 8th‑generation Intel Core i5 processor, Turbo Boost up to 3.9GHz","8GB 2133MHz LPDDR3 SDRAM","512GB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,1415.83,1373.81
5379063,"Z0W4_2000451149_CTO","MUHN2B/A","1.4GHz quad-core 8th‑generation Intel Core i5 processor, Turbo Boost up to 3.9GHz","8GB 2133MHz LPDDR3 SDRAM","1TB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,1582.5,1536.22
5379064,"Z0W4_7_UK_CTO","MUHN2B/A","1.4GHz quad-core 8th‑generation Intel Core i5 processor, Turbo Boost up to 3.9GHz","8GB 2133MHz LPDDR3 SDRAM","2TB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,1915.83,1860.03
5379059,"Z0W4_2000446351_CTO","MUHN2B/A","1.4GHz quad-core 8th‑generation Intel Core i5 processor, Turbo Boost up to 3.9GHz","16GB 2133MHz LPDDR3 SDRAM","128GB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,1232.5,1196.37
5379093,"Z0W4_2000446353_CTO","MUHN2B/A","1.4GHz quad-core 8th‑generation Intel Core i5 processor, Turbo Boost up to 3.9GHz","16GB 2133MHz LPDDR3 SDRAM","256GB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",4,1399.17,1358.78
5379094,"Z0W4_2000451422_CTO","MUHN2B/A","1.4GHz quad-core 8th‑generation Intel Core i5 processor, Turbo Boost up to 3.9GHz","16GB 2133MHz LPDDR3 SDRAM","512GB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,1565.83,1520.18
5379095,"Z0W4_2000446642_CTO","MUHN2B/A","1.4GHz quad-core 8th‑generation Intel Core i5 processor, Turbo Boost up to 3.9GHz","16GB 2133MHz LPDDR3 SDRAM","1TB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,1732.5,1682.59
5379120,"Z0W4_2000452575_CTO","MUHN2B/A","1.4GHz quad-core 8th‑generation Intel Core i5 processor, Turbo Boost up to 3.9GHz","16GB 2133MHz LPDDR3 SDRAM","2TB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,2065.83,2006.4
5379058,"Z0W4_2000451421_CTO","MUHN2B/A","1.7GHz quad-core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","8GB 2133MHz LPDDR3 SDRAM","128GB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,1307.5,1268.55
5379089,"Z0W4_2000480655_CTO","MUHN2B/A","1.7GHz quad-core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","8GB 2133MHz LPDDR3 SDRAM","256GB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,1474.17,1430.96
5379090,"Z0W4_2000469303_CTO","MUHN2B/A","1.7GHz quad-core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","8GB 2133MHz LPDDR3 SDRAM","512GB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,1640.83,1592.36
5379091,"Z0W4_10_UK_CTO","MUHN2B/A","1.7GHz quad-core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","8GB 2133MHz LPDDR3 SDRAM","1TB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,1807.5,1754.77
5379092,"Z0W4_11_UK_CTO","MUHN2B/A","1.7GHz quad-core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","8GB 2133MHz LPDDR3 SDRAM","2TB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,2140.83,2078.58
5379060,"Z0W4_2000451265_CTO","MUHN2B/A","1.7GHz quad-core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2133MHz LPDDR3 SDRAM","128GB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,1457.5,1414.92
5379121,"Z0W4_2000449660_CTO","MUHN2B/A","1.7GHz quad-core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2133MHz LPDDR3 SDRAM","256GB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,1624.17,1577.33
5379122,"Z0W4_2000446143_CTO","MUHN2B/A","1.7GHz quad-core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2133MHz LPDDR3 SDRAM","512GB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,1790.83,1738.73
5379123,"Z0W4_2000455563_CTO","MUHN2B/A","1.7GHz quad-core 8th‑generation Intel Core i7 processor, Turbo Boost up to 4.5GHz","16GB 2133MHz LPDDR3 SDRAM","1TB PCIe-based Flash/SSD","Intel Iris Plus Graphics 645","UK English Keyboard (Please note: Power supply must be selected separately for all keyboards if required)","UK Power Supply","Space Grey","YES",0,1957.5,1901.14
